symbol,signal_type,direction,entry_price,exit_price,sl,target,pnl,pnl_pct,exit_type,entry_time,exit_time,hold_bars,zone_quality,reason
SOLUSDT,GHST_BE,SHORT,141.0,138.29,142.9664285714286,138.29,2199.21,1.92,TARGET,2026-01-07 00:20:00,2026-01-07 05:45:00,65,5,GHST_BE: Supply zone retest [140-143] Q=4 RSI=53
SOLUSDT,GHST_BE,SHORT,139.54,138.29,142.90678571428572,138.29,967.18,0.9,TARGET,2026-01-07 08:10:00,2026-01-07 09:20:00,14,6,GHST_BE: Supply zone retest [140-143] Q=4 RSI=67
SOLUSDT,GHST_SE,LONG,137.28,137.37,135.3007142857143,137.37,-41.97,0.07,TARGET,2026-01-07 10:25:00,2026-01-07 10:30:00,1,5,GHST_SE: Demand zone retest [136-138] Q=4 RSI=28
SOLUSDT,GHST_SE,LONG,136.35,137.37,135.3307142857143,137.37,789.41,0.75,TARGET,2026-01-08 00:05:00,2026-01-08 01:25:00,16,4,GHST_SE: Demand zone retest [136-138] Q=4 RSI=47
SOLUSDT,GHST_SE,LONG,137.69,134.54214285714284,134.54214285714284,139.66,-2912.95,-2.29,SL,2026-01-08 02:40:00,2026-01-08 07:00:00,52,3,GHST_SE: Demand zone retest [135-137] Q=2 RSI=59
SOLUSDT,GHST_SE,LONG,135.56,134.6075,134.6075,137.37,-970.08,-0.7,SL,2026-01-08 08:40:00,2026-01-08 09:20:00,8,2,GHST_SE: Demand zone retest [135-137] Q=2 RSI=48
SOLUSDT,GHST_BE,SHORT,140.61,140.61,141.3942857142857,139.04142857142864,-120.42,0.0,SL,2026-01-09 04:05:00,2026-01-09 06:45:00,32,4,GHST_BE: Supply zone retest [136-141] Q=3 RSI=72
SOLUSDT,GHST_BE,SHORT,139.78,138.29,141.31321428571428,138.29,1162.32,1.07,TARGET,2026-01-09 07:45:00,2026-01-09 08:40:00,11,4,GHST_BE: Supply zone retest [136-141] Q=3 RSI=46
SOLUSDT,GHST_BE,SHORT,138.79,138.29,141.41285714285712,138.29,314.25,0.36,TARGET,2026-01-09 09:40:00,2026-01-09 10:00:00,4,3,GHST_BE: Supply zone retest [136-141] Q=3 RSI=51
SOLUSDT,GHST_BE,SHORT,140.9,138.29,145.07678571428573,138.29,1785.6,1.85,TARGET,2026-01-11 16:35:00,2026-01-11 20:15:00,44,4,GHST_BE: Supply zone retest [141-145] Q=2 RSI=73
