S.No,Date,Strategy,Symbol,Signal_Type,Direction,Strike,Lot_Size,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Capital_Used,PnL,PnL_Pct,Exit_Reason,Delta,IV,Status
64,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82408.96714285715,20,2026-02-23T12:04:19.644206,2026-02-23T12:10:26.507278,294.96,257.77,5899.2,640.13,10.85,TARGET_HIT,-0.2973,15.0,CLOSED
65,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60644.26142857143,30,2026-02-23T12:10:01.681435,2026-02-23T12:15:59.644036,250.44,208.12,7513.2,1163.55,15.49,TARGET_HIT,-0.3147,15.0,CLOSED
66,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82425.35714285714,20,2026-02-23T12:10:03.277854,2026-02-23T12:16:02.037058,295.46,261.51,5909.2,575.37,9.74,TARGET_HIT,-0.2975,15.0,CLOSED
67,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60630.91142857143,30,2026-02-23T12:15:40.154624,2026-02-23T12:21:41.297211,249.72,198.67,7491.6,1425.69,19.03,TARGET_HIT,-0.3144,15.0,CLOSED
68,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60606.54142857143,30,2026-02-23T12:21:19.503600,2026-02-23T12:27:13.978710,241.45,213.54,7243.5,731.45,10.1,TARGET_HIT,-0.3068,15.0,CLOSED
69,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82423.59714285715,20,2026-02-23T12:21:21.184862,2026-02-23T12:27:15.871466,295.41,276.48,5908.2,274.8,4.65,TARGET_HIT,-0.2975,15.0,CLOSED
70,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60577.961428571434,30,2026-02-23T12:26:57.390153,2026-02-23T12:32:55.344808,246.54,214.19,7396.2,864.45,11.69,TARGET_HIT,-0.3132,15.0,CLOSED
71,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60509.16285714286,30,2026-02-23T12:32:34.750897,2026-02-23T12:38:31.897560,236.06,183.82,7081.8,1462.09,20.65,TARGET_HIT,-0.3046,15.0,CLOSED
72,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82347.79714285715,20,2026-02-23T12:32:36.285462,2026-02-23T12:38:34.107506,293.25,246.04,5865.0,840.71,14.33,TARGET_HIT,-0.2968,15.0,CLOSED
73,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60543.34285714286,30,2026-02-23T12:38:10.271424,2026-02-23T12:44:10.336926,237.85,174.78,7135.5,1787.07,25.04,TARGET_HIT,-0.3052,15.0,CLOSED
74,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82390.28714285715,20,2026-02-23T12:38:11.639470,2026-02-23T12:44:12.263317,294.43,241.11,5888.6,962.94,16.35,TARGET_HIT,-0.2972,15.0,CLOSED
