S.No,Symbol,Strategy,Entry Time,Exit Time,Per lot,No fo lots,Entry,Target,SL,Exit,Amount Invested,Amount After Close,PnL,Balance,Status,PnL %,Spot Price,Delta,Exit Reason
66,SENSEX 82891 PE,Survivor,18/02/2026 11:07,18/02/2026 11:13,20,1,238.69,47.74,358.03,184.45,4773.8,3689.0,1084.8,252296.05,Closed,22.7,82891.05,-0.3259,TARGET_HIT
67,NIFTY 25551 PE,Survivor,18/02/2026 11:13,18/02/2026 11:19,65,1,76.56,15.31,114.84,60.48,4976.4,3931.2,1045.2,253341.25,Closed,21.0,25550.7,-0.3313,TARGET_HIT
68,BANKNIFTY 60867 PE,Survivor,18/02/2026 11:13,18/02/2026 11:19,30,1,193.75,38.75,290.62,142.26,5812.5,4267.8,1544.7,254885.95,Closed,26.6,60867.14,-0.3355,TARGET_HIT
69,SENSEX 82865 PE,Survivor,18/02/2026 11:13,18/02/2026 11:19,20,1,238.02,47.6,357.03,195.49,4760.4,3909.8,850.6,255736.55,Closed,17.9,82864.93,-0.3256,TARGET_HIT
70,BANKNIFTY 60875 PE,Survivor,18/02/2026 11:18,18/02/2026 11:24,30,1,196.34,39.27,294.51,139.44,5890.2,4183.2,1707.0,257443.55,Closed,29.0,60874.83,-0.3387,TARGET_HIT
71,SENSEX 82869 PE,Survivor,18/02/2026 11:18,18/02/2026 11:24,20,1,242.96,48.59,364.44,191.63,4859.2,3832.6,1026.6,258470.15,Closed,21.1,82868.87,-0.3306,TARGET_HIT
72,NIFTY 25551 PE,Survivor,18/02/2026 11:24,18/02/2026 11:30,65,1,76.55,15.31,114.82,58.22,4975.75,3784.3,1191.45,259661.6,Closed,23.9,25551.25,-0.3313,TARGET_HIT
73,BANKNIFTY 60880 PE,Survivor,18/02/2026 11:24,18/02/2026 11:30,30,1,194.2,38.84,291.3,131.46,5826.0,3943.8,1882.2,261543.8,Closed,32.3,60879.99,-0.3357,TARGET_HIT
74,SENSEX 82869 PE,Survivor,18/02/2026 11:24,18/02/2026 11:30,20,1,238.13,47.63,357.19,184.6,4762.6,3692.0,1070.6,262614.4,Closed,22.5,82869.04,-0.3256,TARGET_HIT
75,BANKNIFTY 60923 PE,Survivor,18/02/2026 11:29,18/02/2026 11:35,30,1,198.21,39.64,297.31,133.97,5946.3,4019.1,1927.2,264541.6,Closed,32.4,60923.28,-0.3395,TARGET_HIT
76,SENSEX 82877 PE,Survivor,18/02/2026 11:29,18/02/2026 11:35,20,1,243.03,48.61,364.55,162.35,4860.6,3247.0,1613.6,266155.2,Closed,33.2,82877.01,-0.3307,TARGET_HIT
77,NIFTY 25574 PE,Survivor,18/02/2026 11:35,18/02/2026 11:41,65,1,77.15,15.43,115.73,66.42,5014.75,4317.3,697.45,266852.65,Closed,13.9,25573.7,-0.332,TARGET_HIT
78,BANKNIFTY 60943 PE,Survivor,18/02/2026 11:35,18/02/2026 11:41,30,1,197.25,39.45,295.88,147.27,5917.5,4418.1,1499.4,268352.05,Closed,25.3,60943.39,-0.3371,TARGET_HIT
79,SENSEX 82946 PE,Survivor,18/02/2026 11:35,18/02/2026 11:41,20,1,240.32,48.06,360.48,198.96,4806.4,3979.2,827.2,269179.25,Closed,17.2,82946.23,-0.3265,TARGET_HIT
