timestamp,strategy,symbol,signal_type,spot,strike,opt_type,entry_premium,target,sl,quality_score,dte,iv,vix,reason,wall_strike,wall_oi,max_pain,vwap,oi_confirmed,distance_pct
2026-03-09T11:59:12.837359,Max Pain Magnet,NIFTY,BUY_CE,23892.0,23900,CE,200.5,300.75,130.33,75,1,0.2468333333333333,23.64,"Max Pain: MP=24000, Spot=23892 (0.5% below) -> BUY_CE, DTE=1",,,24000.0,,,0.45
2026-03-09T11:59:12.837375,Max Pain Magnet,SENSEX,BUY_CE,77149.83,77100,CE,1032.3,1445.22,671.0,55,3,0.3566198258808798,23.64,"Max Pain: MP=77900, Spot=77150 (1.0% below) -> BUY_CE, DTE=3",,,77900.0,,,0.97
2026-03-09T12:02:13.051350,Max Pain Magnet,NIFTY,BUY_CE,23884.35,23900,CE,193.0,289.5,125.45,75,1,0.2468333333333333,23.61,"Max Pain: MP=24000, Spot=23884 (0.5% below) -> BUY_CE, DTE=1",,,24000.0,,,0.48
2026-03-09T12:02:13.051375,Max Pain Magnet,SENSEX,BUY_CE,77089.39,77100,CE,1028.8,1440.32,668.72,55,3,0.3548804374691296,23.61,"Max Pain: MP=77900, Spot=77089 (1.1% below) -> BUY_CE, DTE=3",,,77900.0,,,1.05
2026-03-09T12:05:14.473160,Max Pain Magnet,NIFTY,BUY_CE,23884.35,23900,CE,188.15,282.23,122.3,75,1,0.2468333333333333,23.65,"Max Pain: MP=24000, Spot=23884 (0.5% below) -> BUY_CE, DTE=1",,,24000.0,,,0.48
2026-03-09T12:05:14.473181,Max Pain Magnet,SENSEX,BUY_CE,77073.9,77100,CE,1021.25,1429.75,663.81,55,3,0.3511598347890725,23.65,"Max Pain: MP=77900, Spot=77074 (1.1% below) -> BUY_CE, DTE=3",,,77900.0,,,1.07
2026-03-09T12:08:14.570864,Max Pain Magnet,NIFTY,BUY_CE,23884.35,23900,CE,181.65,272.48,118.07,75,1,0.2468333333333333,23.7,"Max Pain: MP=24000, Spot=23884 (0.5% below) -> BUY_CE, DTE=1",,,24000.0,,,0.48
2026-03-09T12:08:14.570879,Max Pain Magnet,SENSEX,BUY_CE,77033.33,77000,CE,1031.4,1443.96,670.41,55,3,0.3568626001718983,23.7,"Max Pain: MP=77900, Spot=77033 (1.1% below) -> BUY_CE, DTE=3",,,77900.0,,,1.13
2026-03-09T12:11:14.699081,Max Pain Magnet,NIFTY,BUY_CE,23885.5,23900,CE,167.85,251.77,109.1,67,1,0.4029,23.86,"Max Pain: MP=24000, Spot=23886 (0.5% below) -> BUY_CE, DTE=1",,,24000.0,,,0.48
2026-03-09T12:11:14.699104,Max Pain Magnet,SENSEX,BUY_CE,76987.76,77000,CE,1015.0,1421.0,659.75,55,3,0.3536711407182767,23.86,"Max Pain: MP=77800, Spot=76988 (1.1% below) -> BUY_CE, DTE=3",,,77800.0,,,1.06
2026-03-09T12:14:14.818377,Max Pain Magnet,NIFTY,BUY_CE,23885.5,23900,CE,176.6,264.9,114.79,67,1,0.4029,23.8,"Max Pain: MP=24000, Spot=23886 (0.5% below) -> BUY_CE, DTE=1",,,24000.0,,,0.48
2026-03-09T12:14:14.818395,Max Pain Magnet,SENSEX,BUY_CE,76998.36,77000,CE,1019.6,1427.44,662.74,55,3,0.3561918576510574,23.8,"Max Pain: MP=77800, Spot=76998 (1.0% below) -> BUY_CE, DTE=3",,,77800.0,,,1.04
2026-03-09T12:17:15.572569,Max Pain Magnet,NIFTY,BUY_CE,23855.25,23850,CE,204.45,306.67,132.89,71,1,0.2502333333333333,23.8,"Max Pain: MP=24000, Spot=23855 (0.6% below) -> BUY_CE, DTE=1",,,24000.0,,,0.61
2026-03-09T12:17:15.572594,Max Pain Magnet,SENSEX,BUY_CE,76998.36,77000,CE,1019.6,1427.44,662.74,55,3,0.3561918576510574,23.8,"Max Pain: MP=77800, Spot=76998 (1.0% below) -> BUY_CE, DTE=3",,,77800.0,,,1.04
2026-03-09T12:20:15.660069,Max Pain Magnet,NIFTY,BUY_CE,23855.25,23850,CE,204.45,306.67,132.89,71,1,0.2502333333333333,23.81,"Max Pain: MP=24000, Spot=23855 (0.6% below) -> BUY_CE, DTE=1",,,24000.0,,,0.61
