date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,iv,dte
2025-07-24,BUY_PE_GAMMA,25050,25062.1,46.53,77.78,733.47,-0.451,0.0029,10.4,0
2025-07-31,BUY_CE_GAMMA,24750,24768.35,69.71,93.62,549.69,0.564,0.00273,11.1,0
2025-08-07,BUY_CE_GAMMA,24600,24596.15,62.55,100.64,904.32,0.503,0.00256,12.1,0
2025-08-21,BUY_PE_GAMMA,25100,25083.75,80.18,92.16,251.29,-0.524,0.00214,14.2,0
2025-08-28,BUY_PE_GAMMA,24500,24500.9,73.38,120.58,1132.03,-0.487,0.00209,14.9,0
2025-09-04,BUY_PE_GAMMA,24750,24734.3,81.74,145.82,1553.81,-0.522,0.00209,14.7,0
2025-09-11,BUY_CE_GAMMA,25000,25005.5,71.46,83.34,248.87,0.525,0.00239,12.7,0
2025-09-25,BUY_PE_GAMMA,24900,24890.85,56.45,94.51,903.65,-0.513,0.00294,10.4,0
2025-10-09,BUY_CE_GAMMA,25200,25181.8,55.38,84.31,675.28,0.466,0.00256,11.8,0
2025-10-16,BUY_CE_GAMMA,25600,25585.3,64.7,107.04,1010.65,0.478,0.00228,13.0,0
2025-10-23,BUY_PE_GAMMA,25900,25891.4,70.18,115.55,1086.34,-0.508,0.00233,12.6,0
2025-10-30,BUY_PE_GAMMA,25900,25877.85,69.4,113.12,1044.97,-0.545,0.00263,11.1,0
2025-11-06,BUY_PE_GAMMA,25500,25509.7,56.71,84.05,635.73,-0.463,0.00249,11.9,0
2025-11-20,BUY_CE_GAMMA,26200,26192.15,56.83,65.76,175.15,0.492,0.00272,10.7,0
2025-12-04,BUY_CE_GAMMA,26050,26033.75,52.93,60.36,137.89,0.47,0.00271,10.8,0
2025-12-11,BUY_CE_GAMMA,25900,25898.55,67.45,107.03,941.37,0.509,0.00242,12.2,0
2025-12-18,BUY_CE_GAMMA,25800,25815.55,74.55,27.54,-1223.39,0.551,0.00247,11.9,0
2026-01-01,BUY_PE_GAMMA,26150,26146.55,61.13,66.62,89.24,-0.496,0.00258,11.3,0
2026-01-08,BUY_PE_GAMMA,25900,25876.85,72.63,133.51,1473.71,-0.546,0.00251,11.6,0
2026-01-29,BUY_CE_GAMMA,25400,25418.9,89.11,101.28,255.84,0.55,0.00205,14.5,0
2026-02-05,BUY_PE_GAMMA,25650,25642.8,123.92,143.69,445.63,-0.501,0.0013,22.9,0
2026-02-12,BUY_PE_GAMMA,25800,25807.2,114.63,133.24,416.72,-0.482,0.00132,22.4,0
