date,time,symbol,type,strike,entry_premium,exit_premium,spot_entry,vwap,pcr,tolerance,has_oi,exit_reason,gross_pnl,costs,net_pnl,version
2025-11-28,10:55,SENSEX,BUY_CE,85900,126.04,79.05,85810.22,85810.22,1.54,0.37,True,EOD,-952.17,56.02,-1008.19,Intraday
2025-12-01,10:15,SENSEX,BUY_PE,86000,269.74,442.53,86011.76,86011.76,0.575,0.363,True,EOD,3412.94,66.08,3346.86,Intraday
2025-12-01,10:35,SENSEX,BUY_PE,85900,229.39,381.01,86003.49,86003.49,0.345,0.363,True,EOD,2995.79,63.26,2932.53,Intraday
2025-12-02,10:40,SENSEX,BUY_PE,85300,210.23,267.92,85367.57,85367.57,0.835,0.36,True,EOD,1125.09,61.92,1063.17,Intraday
2025-12-02,11:00,SENSEX,BUY_CE,85400,268.21,201.67,85364.57,85364.57,1.172,0.359,True,EOD,-1358.9,65.97,-1424.87,Intraday
2025-12-03,10:00,SENSEX,BUY_PE,84800,119.83,70.77,84976.1,84976.1,0.82,0.362,True,EOD,-992.61,55.59,-1048.2,Intraday
2025-12-03,10:20,SENSEX,BUY_PE,84900,172.56,94.53,84942.5,84942.5,0.882,0.362,True,EOD,-1576.64,59.28,-1635.91,Intraday
2025-12-04,10:05,SENSEX,BUY_CE,85300,95.23,190.46,85165.78,85165.78,2.778,0.354,True,TARGET,1887.42,53.87,1833.56,Intraday
2025-12-04,10:10,SENSEX,BUY_CE,85300,98.93,197.86,85175.54,85175.54,2.576,0.354,True,TARGET,1960.82,54.13,1906.69,Intraday
2025-12-05,09:55,SENSEX,BUY_PE,85200,111.43,44.57,85260.45,85260.45,0.819,0.348,True,SL,-1346.49,55.0,-1401.49,Intraday
2025-12-05,10:00,SENSEX,BUY_CE,85400,101.26,202.51,85283.58,85283.58,1.846,0.348,True,TARGET,2006.9,54.29,1952.61,Intraday
2025-12-08,10:00,SENSEX,BUY_PE,85400,210.51,421.01,85545.54,85545.54,0.359,0.361,True,TARGET,4172.23,61.94,4110.29,Intraday
2025-12-08,10:05,SENSEX,BUY_PE,85400,214.79,429.59,85534.66,85534.66,0.739,0.361,True,TARGET,4257.19,62.24,4194.96,Intraday
2025-12-09,10:00,SENSEX,BUY_PE,84500,227.47,90.99,84570.75,84570.75,0.517,0.38,True,SL,-2748.7,63.12,-2811.82,Intraday
2025-12-09,10:15,SENSEX,BUY_CE,84700,245.54,295.22,84578.63,84578.63,6.213,0.379,True,EOD,961.33,64.39,896.94,Intraday
2025-12-10,10:25,SENSEX,BUY_CE,84900,216.97,86.79,84850.81,84850.81,1.985,0.372,True,SL,-2621.88,62.39,-2684.27,Intraday
2025-12-10,10:45,SENSEX,BUY_PE,84900,229.92,459.84,84862.63,84862.63,0.184,0.372,True,TARGET,4557.05,63.29,4493.75,Intraday
2025-12-11,09:55,SENSEX,BUY_PE,84200,92.84,37.14,84347.47,84347.47,0.478,0.379,True,SL,-1121.92,53.7,-1175.62,Intraday
2025-12-11,10:05,SENSEX,BUY_CE,84400,142.18,284.37,84344.94,84344.94,2.223,0.379,True,TARGET,2818.07,57.15,2760.92,Intraday
