date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2022-01-03,SELL_PE,17425.7,17625.7,55.43,83.14,-741.61,-0.264,0.00095,-14.85,18.6,4
2022-01-04,SELL_PE,17655.25,17805.25,52.98,79.46,-710.89,-0.288,0.00117,-17.49,18.0,3
2022-01-05,SELL_PE,17819.557142857142,17925.25,44.53,66.8,-393.33,-0.307,0.00156,-20.78,17.0,2
2022-01-06,SELL_CE,17830.495714285717,17745.9,32.53,0.05,763.77,0.311,0.00216,-29.84,17.6,1
2022-01-12,SELL_PE,18112.35,18212.35,49.35,19.93,686.72,-0.322,0.00153,-22.01,17.4,2
2022-01-12,SELL_PE,18112.35,18212.35,49.35,19.93,686.72,-0.322,0.00153,-22.01,17.4,2
2022-01-18,SELL_CE,18263.05,18113.05,30.42,45.64,-428.35,0.25,0.00155,-11.67,12.5,3
2022-01-19,SELL_CE,18038.4,17938.4,33.31,49.97,-301.93,0.3,0.00197,-16.25,13.3,2
2022-01-19,SELL_CE,18038.4,17938.4,33.31,49.97,-301.93,0.3,0.00197,-16.25,13.3,2
2022-01-20,SELL_CE,17837.0,17757.0,22.83,34.24,-216.56,0.281,0.00257,-23.05,14.1,1
2022-01-20,SELL_CE,17837.0,17757.0,22.83,34.24,-216.56,0.281,0.00257,-23.05,14.1,1
2022-01-24,SELL_CE,17349.1,17149.1,60.28,90.41,-802.34,0.291,0.00103,-15.16,18.6,4
2022-01-24,SELL_CE,17349.1,17149.1,60.28,90.41,-802.34,0.291,0.00103,-15.16,18.6,4
2022-01-25,SELL_CE,17427.95,17277.95,58.94,29.06,698.15,0.317,0.00123,-18.16,18.5,3
2022-02-01,SELL_PE,17404.71,17576.85,51.61,77.42,-693.83,-0.273,0.00109,-17.79,19.2,3
2022-02-02,SELL_PE,17647.72142857143,17780.0,46.54,17.02,689.58,-0.29,0.00135,-22.68,19.3,2
2022-02-02,SELL_PE,17647.72142857143,17780.0,46.54,17.02,689.58,-0.29,0.00135,-22.68,19.3,2
2022-02-03,SELL_CE,17666.612857142856,17560.2,32.3,48.44,-293.67,0.287,0.00188,-31.76,19.7,1
2022-02-03,SELL_CE,17666.612857142856,17560.2,32.3,48.44,-293.67,0.287,0.00188,-31.76,19.7,1
2022-02-07,SELL_CE,17434.96857142857,17213.6,66.08,99.12,-875.04,0.29,0.00093,-16.61,20.4,4
2022-02-09,SELL_PE,17313.933928571427,17463.8,45.1,15.65,687.81,-0.275,0.00126,-22.95,20.5,2
2022-02-09,SELL_PE,17313.933928571427,17463.8,45.1,15.65,687.81,-0.275,0.00126,-22.95,20.5,2
2022-02-10,SELL_PE,17488.989999999998,17605.85,29.72,44.59,-272.73,-0.26,0.00172,-31.37,20.4,1
2022-02-10,SELL_PE,17488.989999999998,17605.85,29.72,44.59,-272.73,-0.26,0.00172,-31.37,20.4,1
2022-02-14,SELL_CE,17067.78,16842.8,83.53,125.29,-1093.65,0.312,0.00084,-19.55,23.9,4
2022-02-14,SELL_CE,17067.78,16842.8,83.53,125.29,-1093.65,0.312,0.00084,-19.55,23.9,4
2022-02-15,SELL_PE,17171.1775,17352.45,93.0,139.5,-1212.28,-0.325,0.00083,-26.96,27.5,3
2022-02-15,SELL_PE,17171.1775,17352.45,93.0,139.5,-1212.28,-0.325,0.00083,-26.96,27.5,3
2022-02-16,SELL_PE,17190.45535714286,17322.2,80.85,35.79,1076.85,-0.342,0.00105,-33.21,27.3,2
2022-02-22,SELL_CE,17263.945,17092.2,84.57,45.2,934.68,0.339,0.00096,-24.19,24.5,3
2022-02-23,SELL_PE,16933.969642857144,17063.25,66.02,27.56,912.45,-0.326,0.00117,-28.63,24.3,2
2022-02-24,SELL_CE,16349.17,16247.95,64.1,96.15,-552.66,0.359,0.00141,-50.56,31.2,1
2022-02-24,SELL_CE,16349.17,16247.95,64.1,96.15,-552.66,0.359,0.00141,-50.56,31.2,1
2022-03-03,SELL_PE,16383.732857142857,16498.05,60.23,0.09,1454.67,-0.331,0.00132,-50.67,31.7,1
2022-03-07,SELL_CE,16108.021428571428,15863.15,122.39,73.03,1183.39,0.342,0.00067,-26.04,32.9,4
2022-03-07,SELL_CE,16108.021428571428,15863.15,122.39,73.03,1183.39,0.342,0.00067,-26.04,32.9,4
2022-03-09,SELL_PE,16200.703571428572,16345.35,100.47,150.71,-848.84,-0.353,0.0009,-39.62,34.3,2
2022-03-09,SELL_PE,16200.703571428572,16345.35,100.47,150.71,-848.84,-0.353,0.0009,-39.62,34.3,2
