date,symbol,type,strike,entry,exit,spot_entry,pcr,vwap,gross_pnl,costs,net_pnl,version,tolerance,has_oi,position_scale
2025-02-20,SENSEX,BUY_PE,75700,269.0914941195733,313.6661111877603,75843.21646491229,0.532258064516129,75843.21646491229,856.53,66.04,790.49,V1,,,
2025-03-10,SENSEX,BUY_CE,74100,220.75094273397553,393.1390695011005,73827.31852514918,1.5058823529411764,73827.31852514918,3410.93,62.65,3348.28,V1,,,
2025-03-11,SENSEX,BUY_CE,74100,291.6161514625783,339.8768507904248,74000.13442451421,1.8962962962962964,74000.13442451421,927.32,67.61,859.71,V1,,,
2025-03-13,SENSEX,BUY_PE,73800,160.4480951088335,244.14924936379413,74083.37075664621,0.7985347985347986,74083.37075664621,1649.75,58.43,1591.32,V1,,,
2025-03-27,SENSEX,BUY_CE,77600,422.3304414566155,435.68014719546204,77580.308764526,1.1939655172413792,77580.308764526,215.51,76.76,138.75,V1,,,
2025-04-01,SENSEX,BUY_PE,76000,30.805460149890678,62.54795681289865,77454.66932489452,0.5714285714285714,77454.66932489452,629.25,49.36,579.89,V1,,,
2025-04-25,SENSEX,BUY_PE,79200,489.8164565660045,680.5265440513998,79571.78525219297,0.6771428571428572,79571.78525219297,3743.98,81.49,3662.49,V1,,,
2025-05-06,SENSEX,BUY_CE,80600,619.353377831605,679.9604696092472,80518.4758707265,1.056338028169014,80518.4758707265,1134.18,90.55,1043.63,V1,,,
2025-05-12,SENSEX,BUY_CE,82400,106.93115512294025,173.60484523145215,80642.59629053177,1.1428571428571428,80642.59629053177,1316.64,54.69,1261.96,V1,,,
2025-05-13,SENSEX,BUY_CE,81100,583.8963548233296,811.007078713539,80907.32493647913,1.225108225108225,80907.32493647913,4458.52,88.07,4370.45,V1,,,
2025-05-14,SENSEX,BUY_CE,81300,545.6301676250805,767.3795240892941,81063.95648780488,1.0559701492537314,81063.95648780488,4356.21,85.39,4270.81,V1,,,
2025-05-15,SENSEX,BUY_CE,82500,221.63409693488575,340.68289558158824,81358.45002624672,1.294776119402985,81358.45002624672,2347.24,62.71,2284.52,V1,,,
2025-05-19,SENSEX,BUY_CE,82100,494.5944758394471,713.5877562484712,81839.33454005935,1.2222222222222223,81839.33454005935,4307.37,81.82,4225.55,V1,,,
2025-05-20,SENSEX,BUY_PE,81200,317.0735870298231,473.7620748022175,81852.65186385738,0.702020202020202,81852.65186385738,3086.32,69.4,3016.92,V1,,,
2025-05-21,SENSEX,BUY_PE,81600,415.8643593140696,605.5186549578925,81984.15157425113,0.8200589970501475,81984.15157425113,3731.8,76.31,3655.49,V1,,,
2025-05-28,SENSEX,BUY_PE,81300,476.8909828218384,568.7071054975644,81528.34815100816,0.89171974522293,81528.34815100816,1773.59,80.58,1693.0,V1,,,
