date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2022-12-08,BUY_CE_GAMMA,710,707.55,7.93,10.36,15225362.26,0.463,19.4,7
2022-12-09,BUY_PE_GAMMA,705,706.0,6.7,10.37,22926604.46,-0.472,16.6,6
2022-12-12,BUY_PE_GAMMA,700,700.05,6.45,7.37,5747101.19,-0.494,16.5,5
2022-12-13,BUY_CE_GAMMA,705,707.4,7.95,2.72,-32722411.11,0.561,16.9,5
2022-12-15,BUY_PE_GAMMA,700,702.5,5.61,8.33,17023252.13,-0.436,17.3,5
2022-12-16,BUY_PE_GAMMA,705,703.35,7.17,2.15,-31401497.11,-0.537,16.0,5
2022-12-20,BUY_CE_GAMMA,715,712.9,4.87,7.08,13797044.77,0.447,14.7,5
2022-12-22,BUY_PE_GAMMA,710,712.4,4.85,7.14,14265971.69,-0.432,15.0,5
2022-12-23,BUY_CE_GAMMA,725,724.05,6.03,10.68,29034316.65,0.481,16.0,5
2022-12-28,BUY_PE_GAMMA,730,729.3,15.01,25.56,65939253.94,-0.496,20.8,15
2023-01-03,BUY_PE_GAMMA,715,715.0,13.19,21.16,49787797.1,-0.49,21.3,12
2023-01-09,BUY_CE_GAMMA,750,752.1,12.43,20.82,52421555.03,0.536,24.6,6
2023-01-10,BUY_CE_GAMMA,755,757.0,11.39,17.89,40608932.06,0.537,24.5,5
2023-01-11,BUY_CE_GAMMA,770,769.45,10.54,16.77,38931610.9,0.498,25.1,5
2023-01-12,BUY_CE_GAMMA,770,769.8,10.07,11.13,6599764.92,0.503,23.6,5
2023-01-13,BUY_CE_GAMMA,770,771.3,10.84,11.95,6913074.8,0.526,23.6,5
2023-01-16,BUY_PE_GAMMA,765,765.35,10.2,15.2,31209162.16,-0.487,24.2,5
2023-01-17,BUY_CE_GAMMA,770,772.05,11.48,18.15,41661455.37,0.538,24.1,5
2023-01-18,BUY_CE_GAMMA,775,774.5,10.23,3.07,-44755643.36,0.499,24.1,5
2023-01-23,BUY_CE_GAMMA,785,787.35,10.43,16.66,38952212.42,0.546,20.9,5
2023-01-25,BUY_PE_GAMMA,790,790.0,8.52,12.63,25688266.05,-0.494,19.3,5
2023-01-27,BUY_PE_GAMMA,785,783.3,9.08,13.0,24505851.41,-0.527,18.7,5
2023-01-31,BUY_PE_GAMMA,775,772.9,14.51,23.61,56847794.69,-0.515,20.0,12
2023-02-01,BUY_PE_GAMMA,780,782.2,13.17,15.8,16421806.08,-0.465,19.5,14
2023-02-02,BUY_PE_GAMMA,780,777.9,14.78,24.91,63303286.01,-0.514,19.5,13
2023-02-03,BUY_PE_GAMMA,770,771.6,12.13,18.84,41862133.53,-0.471,19.3,12
2023-02-06,BUY_CE_GAMMA,770,771.5,11.52,19.13,47570859.53,0.528,18.6,9
2023-02-07,BUY_CE_GAMMA,775,776.3,9.31,14.31,31289629.46,0.529,15.7,8
2023-02-08,BUY_PE_GAMMA,775,772.8,9.24,10.47,7677877.22,-0.537,15.8,7
2023-02-10,BUY_PE_GAMMA,765,765.7,6.23,9.71,21708178.82,-0.478,15.4,5
2023-02-13,BUY_CE_GAMMA,770,772.4,8.11,13.01,30601896.36,0.559,15.9,5
2023-02-14,BUY_CE_GAMMA,780,778.7,6.26,9.66,21231418.96,0.474,15.8,5
