date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2022-01-11,BUY_CE_GAMMA,61000,61124.0,922.06,1401.38,431101.24,0.529,25.1,5
2022-01-12,BUY_CE_GAMMA,62000,61839.0,791.11,1244.12,407462.1,0.477,25.1,5
2022-01-14,BUY_PE_GAMMA,61500,61604.0,641.44,952.7,279919.0,-0.47,20.1,5
2022-01-18,BUY_CE_GAMMA,63000,63033.0,759.28,1223.69,417729.87,0.513,21.1,5
2022-01-24,BUY_PE_GAMMA,64000,63949.0,946.94,1255.22,277158.59,-0.501,25.7,5
2022-01-27,BUY_PE_GAMMA,62000,61940.0,1067.68,1924.45,770766.66,-0.5,29.9,5
2022-02-01,BUY_CE_GAMMA,61500,61418.0,1698.47,509.54,-1070525.28,0.505,30.3,14
2022-02-03,BUY_PE_GAMMA,60500,60709.0,1514.28,1961.85,402370.42,-0.465,30.8,12
2022-02-07,BUY_CE_GAMMA,62000,62060.0,1305.14,2021.38,644225.64,0.517,29.0,8
2022-02-08,BUY_CE_GAMMA,62500,62390.0,1149.15,1733.45,525520.35,0.495,29.1,7
2022-02-10,BUY_CE_GAMMA,63500,63255.0,903.85,1183.59,251483.76,0.47,28.8,5
2022-02-14,BUY_CE_GAMMA,64000,64175.0,1164.71,2078.47,822035.37,0.534,30.0,5
2022-02-17,BUY_CE_GAMMA,64000,63900.0,987.83,1564.81,518983.4,0.492,29.0,5
2022-02-22,BUY_CE_GAMMA,64500,64366.0,924.96,1109.19,165517.55,0.486,27.5,5
2022-02-23,BUY_CE_GAMMA,64500,64570.0,1028.44,1551.64,470560.7,0.518,27.5,5
2022-02-24,BUY_CE_GAMMA,66000,66064.0,917.55,362.38,-499939.28,0.518,23.9,5
2022-03-01,BUY_CE_GAMMA,67000,67246.0,2103.76,3538.9,1291028.35,0.533,31.5,14
2022-03-04,BUY_CE_GAMMA,68500,68402.0,1750.25,2758.22,906670.46,0.504,31.7,11
2022-05-02,BUY_PE_GAMMA,63000,62970.0,2941.25,3838.71,806893.42,-0.477,51.6,13
2022-05-04,BUY_PE_GAMMA,62000,62080.0,2641.19,4119.68,1329899.48,-0.473,52.1,11
2022-05-09,BUY_PE_GAMMA,61500,61425.0,1982.49,3205.48,1100122.4,-0.49,51.6,6
2022-05-10,BUY_PE_GAMMA,61000,60750.0,1870.31,3111.84,1116836.48,-0.508,51.1,5
2022-05-12,BUY_PE_GAMMA,58500,58699.0,1638.97,2725.71,977587.01,-0.467,52.9,5
2022-05-16,BUY_CE_GAMMA,61000,60998.0,1887.58,3114.35,1103554.09,0.515,55.3,5
2022-05-19,BUY_CE_GAMMA,61500,61639.0,1934.63,3098.14,1046610.21,0.527,54.1,5
2022-05-23,BUY_PE_GAMMA,61500,61365.0,1850.7,2083.58,209059.07,-0.497,51.8,5
